title,publishedAt,duration,views,likes,comments,duration_sec,publish_hour,publish_day,cluster
Python Pandas Crash Course (2025),2025-01-24 12:18:01+00:00,PT36M57S,187838,6510,1842,2217.0,12,Friday,1
Web Developer Roadmap (2025) - Everything is Changing,2025-01-21 04:06:32+00:00,PT21M48S,1615256,60460,2482,1308.0,4,Tuesday,0
Creating a Wordpress Travel Blog in less than 10 Minutes 🔥,2025-01-13 17:48:03+00:00,PT13M35S,36814,1371,197,815.0,17,Monday,1
"Let's build a Chat app using Clerk, Stream & Next.js 🔥",2025-01-10 14:30:05+00:00,PT1H42M26S,52340,1968,306,6146.0,14,Friday,1
Learn Coding & Get a Job (in 2025) 🔥,2025-01-08 13:24:58+00:00,PT16M54S,3250254,135578,4711,1014.0,13,Wednesday,0
CodeWithHarry 2024 Rewind 🔥,2024-12-29 11:30:33+00:00,PT5M44S,59865,4972,863,344.0,11,Sunday,1
Upcoming Products (Google Insider Reveals),2024-12-29 05:30:04+00:00,PT33S,61415,2796,18,33.0,5,Sunday,1
Security & Google 🔥,2024-12-27 12:01:05+00:00,PT58S,145800,8687,47,58.0,12,Friday,1
Two Weeks is what it takes...,2024-12-25 12:48:27+00:00,PT5M18S,231715,15665,767,318.0,12,Wednesday,1
"Why use Google Workspace ft. Prakash, India Lead Customer Engineering at Google 🔥",2024-12-23 12:32:09+00:00,PT47S,69604,2498,35,47.0,12,Monday,1
Top 3 Skills every Data Scientist must have 🔥,2024-12-20 14:06:12+00:00,PT1M,317520,21606,77,60.0,14,Friday,1
AI for Academic Research 🔥,2024-12-19 15:22:04+00:00,PT12M7S,31150,1417,183,727.0,15,Thursday,1
Get GitHub Copilot - Free!!!,2024-12-19 13:38:08+00:00,PT1M,186630,10434,105,60.0,13,Thursday,1
How to Integrate AI in your Backend using CopilotKit | CopilotKit Backend Actions Tutorial 🔥,2024-12-19 06:27:07+00:00,PT20M,36116,1379,179,1200.0,6,Thursday,1
How to Make 2025 the Best Year of Your Life 🔥,2024-12-18 11:30:31+00:00,PT8M49S,168081,9453,379,529.0,11,Wednesday,1
Top Skills Every Software Engineer Should Learn in 2025,2024-12-15 11:30:29+00:00,PT9M31S,636117,22431,830,571.0,11,Sunday,1
How To Make Money With AI (More than you think),2024-12-13 14:22:00+00:00,PT14M4S,401790,15494,635,844.0,14,Friday,1
5 Mistakes Beginner Web Developers Make (Avoid These),2024-12-11 11:30:02+00:00,PT12M9S,226034,11960,566,729.0,11,Wednesday,1
"How to use AI Effectively - Prompts, Tips & Tricks🔥",2024-12-07 12:48:52+00:00,PT14M30S,110374,6694,348,870.0,12,Saturday,1
"Should You Learn AWS, DevOps & Cloud Computing in 2025?",2024-12-06 11:30:28+00:00,PT8M47S,382399,12760,707,527.0,11,Friday,1
How to Start an E-Commerce Business in India? (Complete Guide),2024-12-04 11:30:36+00:00,PT19M7S,397027,16488,505,1147.0,11,Wednesday,1
How to Build an Ecommerce Website in 15 Minutes (2025) 🔥,2024-11-30 11:30:28+00:00,PT15M55S,150684,5244,525,955.0,11,Saturday,1
Top Skill to Learn in 2025 🔥,2024-11-27 11:32:45+00:00,PT1M,631325,52958,390,60.0,11,Wednesday,0
