title,publishedAt,duration,views,likes,comments,duration_sec,publish_hour,publish_day,cluster
😈 Innovative Hacking Technique 😱🤯🙀,2024-02-11 17:00:18+00:00,PT1M,113252,10469,61,60.0,17,Sunday,1
How Hackers Hack using Gmail (Innovative) 🔥,2024-02-11 11:30:30+00:00,PT9M16S,134595,3897,260,556.0,11,Sunday,1
Which Code Editor to Use?,2024-02-09 16:30:05+00:00,PT39S,228791,14540,195,39.0,16,Friday,1
Exercise 18 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #113,2024-02-08 16:14:04+00:00,PT13M19S,62725,2377,331,799.0,16,Thursday,1
Handling Events in React | Sigma Web Development Course - Tutorial #112,2024-02-07 17:05:50+00:00,PT16M35S,88811,3321,318,995.0,17,Wednesday,1
👨‍💻 Should Kids learn Coding?,2024-02-07 07:14:21+00:00,PT36S,145044,10272,174,36.0,7,Wednesday,1
Exercise 18 - Display the Cards | Sigma Web Development Course - Tutorial #111,2024-02-06 16:09:04+00:00,PT6M11S,63829,2645,331,371.0,16,Tuesday,1
Conditional Rendering  & Rendering Lists in React | Sigma Web Development Course - Tutorial #110,2024-02-05 15:43:53+00:00,PT19M6S,103241,3366,336,1146.0,15,Monday,1
"Let’s Build a Tech Blog using HTML, Tailwind CSS, React, and Appwrite Cloud as a backend 🔥",2024-02-04 15:30:04+00:00,PT43M26S,49105,1630,151,2606.0,15,Sunday,1
No C/C++ in 2024?,2024-02-04 05:52:24+00:00,PT50S,85547,6253,73,50.0,5,Sunday,1
🔥 Top Programming Languages for 2025 Jobs! 💻🚀,2024-02-02 17:07:56+00:00,PT8M10S,218624,10603,675,490.0,17,Friday,1
The useRef Hook in React | Sigma Web Development Course - Tutorial #109,2024-02-01 15:56:27+00:00,PT14M44S,143979,5293,519,884.0,15,Thursday,1
The useEffect Hook in React | Sigma Web Development Course - Tutorial #108,2024-01-31 16:04:08+00:00,PT26M6S,170775,5652,615,1566.0,16,Wednesday,1
Hooks & State in React | Sigma Web Development Course - Tutorial #107,2024-01-30 15:54:47+00:00,PT11M19S,128293,4729,505,679.0,15,Tuesday,1
Coding = कितना पैसा? 🤑,2024-01-30 09:45:23+00:00,PT28S,1026716,63310,452,28.0,9,Tuesday,0
"Components, Props and JSX in React | Sigma Web Development Course - Tutorial #106",2024-01-29 16:13:43+00:00,PT26M53S,168238,5901,1347,1613.0,16,Monday,1
Introduction to React & Why use React? | Sigma Web Development Course - Tutorial #105,2024-01-28 17:51:22+00:00,PT40M38S,219408,7120,855,2438.0,17,Sunday,1
Python in 2024 ❌or ✔️,2024-01-27 14:57:38+00:00,PT47S,1072014,71520,433,47.0,14,Saturday,0
How to Start Coding in 2025? Learn Programming in 2025 for Beginners 🔥,2024-01-26 14:43:19+00:00,PT14M,1486070,64350,2546,840.0,14,Friday,0
Hosting an Express App on Ubuntu VPS using Hostinger | Sigma Web Development Course - Tutorial #104,2024-01-25 16:01:04+00:00,PT24M6S,62746,1974,248,1446.0,16,Thursday,1
What is Hosting? Where to Host? Which Hosting? | Sigma Web Development Course - Tutorial #103,2024-01-24 16:37:48+00:00,PT38M8S,98845,4020,403,2288.0,16,Wednesday,1
Exercise 17 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #102,2024-01-23 15:56:43+00:00,PT11M49S,37540,1365,208,709.0,15,Tuesday,1
How to quickly build a website with Elementor Hosting and AI 🔥,2024-01-21 14:30:16+00:00,PT17M38S,25244,768,110,1058.0,14,Sunday,1
Modern UI Library,2024-01-21 08:54:00+00:00,PT36S,109309,8963,40,36.0,8,Sunday,1
"SyncFusion: A UI Component Suite for Building Powerful Web, Desktop, and Mobile Apps",2024-01-21 05:30:10+00:00,PT18M59S,15029,652,70,1139.0,5,Sunday,1
X.com (Twitter) Clone using Tailwind CSS | Sigma Web Development Course - Tutorial #101,2024-01-20 05:30:13+00:00,PT2H27M49S,221948,4713,462,8869.0,5,Saturday,1
Exercise 17 - Design This Layout | Sigma Web Development Course - Tutorial #100,2024-01-18 11:30:21+00:00,PT3M14S,53849,2342,677,194.0,11,Thursday,1
Creating Cost Calculator in Wordpress | Cost Calculator Plugin for WordPress 🔥,2024-01-18 05:30:05+00:00,PT15M44S,10264,194,31,944.0,5,Thursday,1
Lets build a Portfolio Website using Hostinger AI Builder 🔥,2024-01-17 14:30:16+00:00,PT33M7S,27695,985,136,1987.0,14,Wednesday,1
Exercise 16 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #99,2024-01-17 08:33:22+00:00,PT22M44S,57558,1977,249,1364.0,8,Wednesday,1
Tailwind CSS in one Video | Sigma Web Development Course - Tutorial #98,2024-01-16 17:25:00+00:00,PT33M58S,290670,8254,943,2038.0,17,Tuesday,1
Exercise 16 - Dummy Data Generator | Sigma Web Development Course - Tutorial #97,2024-01-15 11:30:26+00:00,PT5M42S,48249,2231,601,342.0,11,Monday,1
Secure Yourself Online with this Browser Extension 🔥,2024-01-14 13:19:34+00:00,PT30S,79642,6638,32,30.0,13,Sunday,1
Installing Mongoose & Using it with Express | Sigma Web Development Course - Tutorial #96,2024-01-14 11:15:57+00:00,PT23M19S,106652,3548,326,1399.0,11,Sunday,1
CRUD Operations in MongoDB | Sigma Web Development Course - Tutorial #95,2024-01-13 15:07:42+00:00,PT17M21S,106261,3503,278,1041.0,15,Saturday,1
Installing MongoDB & MongoDB Compass | Sigma Web Development Course - Tutorial #94,2024-01-12 16:25:54+00:00,PT24M33S,218536,5723,509,1473.0,16,Friday,1
Exercise 15 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #93,2024-01-11 14:45:01+00:00,PT17M33S,61436,2456,315,1053.0,14,Thursday,1
ejs Template Engine in Express | Sigma Web Development Course - Tutorial #92,2024-01-10 11:30:10+00:00,PT21M28S,111098,4047,583,1288.0,11,Wednesday,1
Exercise 15 - Clear the Clutter | Sigma Web Development Course - Tutorial #91,2024-01-09 13:55:44+00:00,PT4M53S,61866,3054,755,293.0,13,Tuesday,1
This Chrome Extension will BLOW YOUR MIND 🤯| Be Fearless online 🔥,2024-01-07 11:30:05+00:00,PT9M53S,185185,7715,367,593.0,11,Sunday,1
Middlewares in Express Js | Sigma Web Development Course - Tutorial #90,2024-01-06 10:42:33+00:00,PT19M5S,117319,4677,375,1145.0,10,Saturday,1
"Response, Request and Routers in Express | Sigma Web Development Course - Tutorial #89",2024-01-05 14:57:21+00:00,PT27M55S,144170,4313,378,1675.0,14,Friday,1
Introduction to Express Js | Sigma Web Development Course - Tutorial #88,2024-01-05 04:30:07+00:00,PT20M39S,166269,5356,739,1239.0,4,Friday,1
"🤑₹3,30,000 New Year Gift for Myself -  Lifestyle Upgrade! 😍",2024-01-03 12:56:18+00:00,PT6M22S,247404,9718,974,382.0,12,Wednesday,1
Working with Files: fs and path Modules | Sigma Web Development Course - Tutorial #87,2024-01-03 04:30:03+00:00,PT17M32S,125768,4250,286,1052.0,4,Wednesday,1
CommonJs Vs EcmaScript Modules | Sigma Web Development Course - Tutorial #86,2024-01-02 10:56:57+00:00,PT17M46S,172034,5148,459,1066.0,10,Tuesday,1
Exploring MyKode Framework for rapid development of Single Page Applications,2023-12-31 16:42:28+00:00,PT11M54S,9185,297,56,714.0,16,Sunday,1
"Backend, Node.js & npm | Sigma Web Development Course - Tutorial #85",2023-12-28 16:27:04+00:00,PT17M20S,301375,9294,737,1040.0,16,Thursday,1
"Spotify Clone using HTML, CSS & JavaScript | Sigma Web Development Course - Tutorial #84",2023-12-26 15:40:04+00:00,PT5H35M39S,967850,15699,2629,20139.0,15,Tuesday,1
JavaScript Interview Questions | Sigma Web Development Course - Tutorial #83,2023-12-24 14:30:14+00:00,PT21M8S,144788,5337,462,1268.0,14,Sunday,1
How to host a Front End react app on a Linux Server (Beginner Tutorial) 🔥,2023-12-24 05:30:04+00:00,PT7M21S,16663,530,52,441.0,5,Sunday,1
Create your own VPN using Pritunl on Linux VPS 🔥,2023-12-23 05:30:03+00:00,PT11M2S,21500,842,61,662.0,5,Saturday,1
Advanced JavaScript | Sigma Web Development Course - Tutorial #82,2023-12-22 16:32:12+00:00,PT14M23S,135581,5442,404,863.0,16,Friday,1
JavaScript Exercise 14 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #81,2023-12-21 16:19:48+00:00,PT18M41S,99422,3430,246,1121.0,16,Thursday,1
Classes & Objects - Object Oriented Programming in Js | Sigma Web Development Course - Tutorial #80,2023-12-21 05:30:02+00:00,PT20M43S,142019,5505,388,1243.0,5,Thursday,1
Julius AI: An Amazing Conversational AI for Data Science with File Upload🔥,2023-12-20 13:40:18+00:00,PT20M31S,26395,1187,110,1231.0,13,Wednesday,1
Amazing Productivity Tool!,2023-12-19 16:30:06+00:00,PT58S,88848,7997,42,58.0,16,Tuesday,1
Code 10x Faster with Pieces for Developers Developer Productivity Platform (It's Game Changing) 🔥,2023-12-19 08:30:10+00:00,PT18M57S,66956,2838,135,1137.0,8,Tuesday,1
JavaScript try catch & Error Handling | Sigma Web Development Course - Tutorial #79,2023-12-18 11:30:00+00:00,PT15M59S,123216,5687,405,959.0,11,Monday,1
JavaScript Exercise 14 - Hacker's Terminal | Sigma Web Development Course - Tutorial #78,2023-12-17 13:27:53+00:00,PT3M58S,99063,4175,858,238.0,13,Sunday,1
OneEntry CMS Tutorial: Management system for apps and websites🔥,2023-12-16 11:30:21+00:00,PT34M46S,11903,402,78,2086.0,11,Saturday,1
JavaScript Exercise 13 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #77,2023-12-16 05:30:07+00:00,PT24M13S,134543,4138,266,1453.0,5,Saturday,1
Machine Learning & Artificial Intelligence tools from AWS you must know,2023-12-15 11:30:14+00:00,PT10M11S,19599,972,75,611.0,11,Friday,1
Async/Await & Fetch API in JavaScript with Examples | Sigma Web Development Course - Tutorial #76,2023-12-14 13:25:05+00:00,PT23M41S,232037,7836,561,1421.0,13,Thursday,1
Website Using Pure Python: Lets build a Stock Simulator Using Taipy 🔥,2023-12-14 05:30:04+00:00,PT43M9S,33151,1230,94,2589.0,5,Thursday,1
JavaScript Callbacks & Promises | Sigma Web Development Course - Tutorial #75,2023-12-13 11:33:21+00:00,PT32M24S,279282,8672,709,1944.0,11,Wednesday,1
"Events, Event Bubbling, setInterval & setTimeout | Sigma Web Development Course - Tutorial #74",2023-12-12 13:42:39+00:00,PT27M51S,238402,8997,799,1671.0,13,Tuesday,1
JavaScript Exercise 13 - Dynamic Website Builder | Sigma Web Development Course - Tutorial #73,2023-12-11 14:11:07+00:00,PT6M14S,155784,5415,1054,374.0,14,Monday,1
JavaScript Exercise 12 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #72,2023-12-10 13:30:49+00:00,PT17M27S,138387,5001,424,1047.0,13,Sunday,1
Inserting and Removing Elements using JavaScript | Sigma Web Development Course - Tutorial #71,2023-12-09 13:43:00+00:00,PT23M48S,243579,9103,608,1428.0,13,Saturday,1
Earn by Building Apps with this Low Code Tool | FlutterFlow Tutorial 🔥,2023-12-08 14:11:50+00:00,PT33M25S,426180,12909,954,2005.0,14,Friday,1
JavaScript Exercise 12 - Color the Boxes | Sigma Web Development Course - Tutorial #70,2023-12-07 15:01:38+00:00,PT3M54S,137233,5002,1224,234.0,15,Thursday,1
Acorn: A Platform to Develop and Run Your Apps on the Cloud 🔥,2023-12-07 05:30:10+00:00,PT14M50S,10618,492,42,890.0,5,Thursday,1
JavaScript Exercise 11 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #69,2023-12-06 15:58:55+00:00,PT11M52S,145980,5007,516,712.0,15,Wednesday,1
"JavaScript -  Selecting by Ids, Classes, and More | Sigma Web Development Course - Tutorial #68",2023-12-05 16:03:03+00:00,PT18M15S,216001,8900,595,1095.0,16,Tuesday,1
"JavaScript DOM - Children, Parent & Sibling Nodes | Sigma Web Development Course - Tutorial #67",2023-12-04 17:31:01+00:00,PT18M56S,247148,9734,867,1136.0,17,Monday,1
Document Object Model in JavaScript | Sigma Web Development Course - Tutorial #66,2023-12-03 16:05:32+00:00,PT8M51S,244065,9397,585,531.0,16,Sunday,1
How to build a WordPress website with Elementor in 15 Minutes 🔥,2023-12-02 05:30:02+00:00,PT19M46S,115770,2162,221,1186.0,5,Saturday,1
All About Machine Learning & Deep Learning in 2025 🔥,2023-12-01 13:30:07+00:00,PT15M20S,815789,29938,941,920.0,13,Friday,1
JavaScript Exercise 11 - Calculate the Factorial | Sigma Web Development Course - Tutorial #65,2023-12-01 08:20:52+00:00,PT3M23S,141711,5622,1876,203.0,8,Friday,1
5 Health Tips for All Programmers | How to Stay Healthy as a Programmer ft @TheSleepCompany Ultron,2023-11-30 10:45:15+00:00,PT14M6S,134672,6519,376,846.0,10,Thursday,1
JavaScript Exercise 10 - Solution | Sigma Web Development Course - Tutorial #64,2023-11-29 11:45:40+00:00,PT11M28S,170687,6461,598,688.0,11,Wednesday,1
JavaScript Arrays | Sigma Web Development Course - Tutorial #63,2023-11-28 11:30:16+00:00,PT30M52S,321701,12358,3286,1852.0,11,Tuesday,1
JavaScript Exercise 10 - Business Name Generator | Sigma Web Development Course - Tutorial #62,2023-11-27 12:53:52+00:00,PT3M58S,177053,6681,1721,238.0,12,Monday,1
JavaScript Exercise 9 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #61,2023-11-26 12:30:32+00:00,PT10M54S,210484,7019,654,654.0,12,Sunday,1
JavaScript Strings | Sigma Web Development Course - Tutorial #60,2023-11-25 11:30:33+00:00,PT18M2S,249772,9662,655,1082.0,11,Saturday,1
Exercise 9 - Faulty Calculator | Sigma Web Development Course - Tutorial #59,2023-11-24 11:30:08+00:00,PT5M31S,221990,8347,1735,331.0,11,Friday,1
JavaScript Functions | Sigma Web Development Course - Tutorial #58,2023-11-23 11:30:15+00:00,PT12M26S,267336,10655,724,746.0,11,Thursday,1
JavaScript Loops | Sigma Web Development Course - Tutorial #57,2023-11-22 11:30:24+00:00,PT16M1S,298110,12395,1611,961.0,11,Wednesday,1
"JavaScript Conditionals: if, else if,  else ladder | Sigma Web Development Course - Tutorial #56",2023-11-21 11:30:01+00:00,PT24M24S,338405,14882,1377,1464.0,11,Tuesday,1
What is Hosting? | Best WordPress Hosting for 2025 🔥,2023-11-20 13:09:40+00:00,PT14M42S,40214,1306,107,882.0,13,Monday,1
How to Host Multiple WordPress Websites on a Linux VPS 🔥,2023-11-20 05:30:02+00:00,PT22M1S,11112,402,58,1321.0,5,Monday,1
"JavaScript Variables, Data Types & Objects | Sigma Web Development Course - Tutorial #55",2023-11-19 11:30:06+00:00,PT20M20S,422054,15575,3698,1220.0,11,Sunday,1
Introduction to JavaScript & Installing Node.js | Sigma Web Development Course - Tutorial #54,2023-11-18 15:03:44+00:00,PT20M23S,566460,26108,5278,1223.0,15,Saturday,1
Netflix Clone Using HTML & CSS | Sigma Web Development Course - Tutorial #53,2023-11-17 17:48:45+00:00,PT1H57M23S,1193841,25190,3666,7043.0,17,Friday,1
Stackry: An Amazing International Shopping Service for Tech Enthusiasts 🔥,2023-11-17 05:30:07+00:00,PT10M51S,60957,2231,184,651.0,5,Friday,1
Figma Basics in One Video | Sigma Web Development Course - Tutorial #52,2023-11-17 02:30:26+00:00,PT27M20S,484392,18253,1142,1640.0,2,Friday,1
Exercise 8: Solution & Shoutouts | Sigma Web Development Course - Tutorial #51,2023-11-16 17:30:07+00:00,PT7M20S,135415,6531,482,440.0,17,Thursday,1
CSS Filters | Sigma Web Development Course - Tutorial #50,2023-11-16 13:17:40+00:00,PT9M6S,153885,11069,2281,546.0,13,Thursday,1
CSS Object-fit and Object-cover | Sigma Web Development Course - Tutorial #49,2023-11-15 11:30:18+00:00,PT15M25S,190492,11849,948,925.0,11,Wednesday,1
"Creating a Daily Task Planner MVP CRUD App using TiDB Serverless, Next.js, and Tailwind CSS 🔥",2023-11-15 05:30:00+00:00,PT57M20S,15735,627,49,3440.0,5,Wednesday,1
Exercise 8 - Bounce Animation | Sigma Web Development Course - Tutorial #48,2023-11-14 11:30:09+00:00,PT4M44S,151642,7139,1253,284.0,11,Tuesday,1
Exercise 7 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #47,2023-11-13 11:30:31+00:00,PT38M39S,212033,7301,653,2319.0,11,Monday,1
CSS Animations | Sigma Web Development Course - Tutorial #46,2023-11-12 11:30:24+00:00,PT17M57S,260538,11723,874,1077.0,11,Sunday,1
CSS Transition Property | Sigma Web Development Course - Tutorial #45,2023-11-11 11:30:20+00:00,PT13M33S,257232,14834,1066,813.0,11,Saturday,1
Exercise 7 - Design the Grid | Sigma Web Development Course - Tutorial #44,2023-11-10 11:30:29+00:00,PT5M41S,185269,11941,1676,341.0,11,Friday,1
Exercise 6 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #43,2023-11-09 11:30:17+00:00,PT20M27S,217761,7174,536,1227.0,11,Thursday,1
Studio3T: A Better & Powerful Alternative to MongoDB Compass 🔥,2023-11-09 05:30:12+00:00,PT21M56S,11107,327,26,1316.0,5,Thursday,1
CSS Transforms MasterClass | Sigma Web Development Course - Tutorial #42,2023-11-08 14:59:43+00:00,PT11M22S,241494,11302,957,682.0,14,Wednesday,1
5 Tools Every Programmer Must Use (10X Profits!) 🔥,2023-11-08 05:30:12+00:00,PT11M47S,92617,5571,177,707.0,5,Wednesday,1
Exercise 6 - Navbar using Flexbox | Sigma Web Development Course - Tutorial #41,2023-11-07 11:30:03+00:00,PT3M21S,215190,8441,1381,201.0,11,Tuesday,1
How to Launch Your Course Online using WordPress?,2023-11-07 05:30:09+00:00,PT26M23S,12567,627,54,1583.0,5,Tuesday,1
Exercise 5 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #40,2023-11-06 13:20:20+00:00,PT15M50S,208441,7713,646,950.0,13,Monday,1
How to Install and Setup GitLab on Ubuntu VPS 🔥,2023-11-06 05:30:02+00:00,PT10M56S,12647,487,43,656.0,5,Monday,1
CSS Grid - Ultimate MasterClass | Sigma Web Development Course - Tutorial #39,2023-11-05 15:09:31+00:00,PT32M12S,462990,15931,1321,1932.0,15,Sunday,1
CSS Flexbox - Ultimate MasterClass | Sigma Web Development Course - Tutorial #38,2023-11-03 15:49:42+00:00,PT27M58S,474661,19697,2875,1678.0,15,Friday,1
5 Productivity Tips For all Programmers 🔥,2023-11-03 05:30:09+00:00,PT6M47S,63411,4181,191,407.0,5,Friday,1
CSS Exercise 5 - Design this Layout | Sigma Web Development Course - Tutorial #37,2023-11-02 14:17:05+00:00,PT7M16S,235714,9515,2952,436.0,14,Thursday,1
A New Icon Library for your Web Development Projects 🔥,2023-11-02 08:27:49+00:00,PT12M27S,25633,1455,116,747.0,8,Thursday,1
Exercise 4 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #36,2023-11-01 11:30:31+00:00,PT13M45S,215137,8981,637,825.0,11,Wednesday,1
More on CSS Selectors | Sigma Web Development Course - Tutorial #35,2023-10-31 14:47:33+00:00,PT13M24S,240326,13551,1812,804.0,14,Tuesday,1
Build an AI Chatbot on your Custom Data 🔥,2023-10-31 05:30:05+00:00,PT21M34S,567107,13387,398,1294.0,5,Tuesday,1
This AI Website Builder Blew My Mind 🤯,2023-10-30 14:59:17+00:00,PT14M57S,33081,1818,190,897.0,14,Monday,1
CSS Float & Clear | Sigma Web Development Course - Tutorial #34,2023-10-29 16:03:52+00:00,PT10M42S,265983,14349,2461,642.0,16,Sunday,1
Exercise 4 - Multi Color Website | Sigma Web Development Course - Tutorial #33,2023-10-28 14:34:50+00:00,PT2M33S,242338,10822,3498,153.0,14,Saturday,1
Exercise 3 - Solution | Sigma Web Development Course - Tutorial #32,2023-10-27 16:15:00+00:00,PT19M48S,289806,10795,903,1188.0,16,Friday,1
CSS Media Queries | Sigma Web Development Course - Tutorial #31,2023-10-26 16:30:10+00:00,PT11M37S,403120,19388,1393,697.0,16,Thursday,1
CSS Variables | Sigma Web Development Course - Tutorial #30,2023-10-25 16:11:16+00:00,PT13M20S,330414,15534,1471,800.0,16,Wednesday,1
Exercise 3 - Design this Card  | Sigma Web Development Course - Tutorial #29,2023-10-24 12:47:23+00:00,PT6M18S,326050,14240,6537,378.0,12,Tuesday,1
CSS Position Property | Sigma Web Development Course - Tutorial #28,2023-10-23 14:30:13+00:00,PT24M5S,452859,19310,1980,1445.0,14,Monday,1
Best WordPress Hosting for 2025 & Beyond 🔥,2023-10-23 08:27:49+00:00,PT15M46S,43770,1462,187,946.0,8,Monday,1
Exercise 2 - Solutions and Shoutouts | Sigma Web Development Course - Tutorial #27,2023-10-22 14:35:53+00:00,PT10M16S,245874,10207,792,616.0,14,Sunday,1
CSS Overflow Property | Sigma Web Development Course - Tutorial #26,2023-10-21 11:44:36+00:00,PT8M21S,292995,14942,1708,501.0,11,Saturday,1
Styling Lists using CSS | Sigma Web Development Course - Tutorial #25,2023-10-20 11:51:37+00:00,PT9M52S,305769,16998,2907,592.0,11,Friday,1
CSS Shadows and Outlines | Sigma Web Development Course - Tutorial #24,2023-10-19 12:02:37+00:00,PT13M10S,335678,21646,3342,790.0,12,Thursday,1
CSS Display Property | Sigma Web Development Course - Tutorial #23,2023-10-18 11:30:18+00:00,PT12M8S,399373,19829,2183,728.0,11,Wednesday,1
"CSS Sizing Units - px, rem, em, vh, vw, % & more | Sigma Web Development Course - Tutorial #22",2023-10-17 14:15:59+00:00,PT26M24S,498976,20466,2426,1584.0,14,Tuesday,1
Money Making Machine 🔥,2023-10-17 08:49:56+00:00,PT55S,288410,29795,124,55.0,8,Tuesday,1
CSS Specificity & Cascade | Sigma Web Development Course - Tutorial #21,2023-10-16 11:38:40+00:00,PT20M7S,474047,24290,3661,1207.0,11,Monday,1
Exercise 2 - CSS Challenge | Sigma Web Development Course - Tutorial #20,2023-10-15 14:40:42+00:00,PT4M19S,369289,16285,11049,259.0,14,Sunday,1
Python Project: Uploading files to S3 Compatible Storage using Python 🔥,2023-10-15 05:30:14+00:00,PT30M53S,18346,620,73,1853.0,5,Sunday,1
"CSS Fonts, Text & Color Properties | Sigma Web Development Course - Tutorial #19",2023-10-14 13:55:57+00:00,PT32M8S,585383,31005,3374,1928.0,13,Saturday,1
"CSS Box Model - Margin, Padding & Borders | Sigma Web Development Course - Tutorial #18",2023-10-13 12:46:55+00:00,PT17M41S,576931,26213,4840,1061.0,12,Friday,1
Wazuh: An Easy Cybersecurity tool for Beginners 🔥,2023-10-13 05:30:03+00:00,PT14M19S,29606,1174,95,859.0,5,Friday,1
CSS Selectors MasterClass | Sigma Web Development Course - Tutorial #17,2023-10-12 14:19:07+00:00,PT14M,585936,24994,2758,840.0,14,Thursday,1
"Q&A Search with LangChain, CassIO & AstraDB 🔥",2023-10-12 05:30:09+00:00,PT22M36S,11530,414,76,1356.0,5,Thursday,1
Exercise 1 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #16,2023-10-11 15:49:45+00:00,PT7M19S,378968,14041,1135,439.0,15,Wednesday,1
OpenAI Whisper Tutorial + Audio to Text Translator Website Project 🔥,2023-10-11 04:30:09+00:00,PT44M56S,97983,2115,97,2696.0,4,Wednesday,1
"Inline, Internal & External CSS | Sigma Web Development Course - Tutorial #15",2023-10-10 14:54:34+00:00,PT11M4S,420541,21760,2495,664.0,14,Tuesday,1
Free Coding AI for Everyone🔥,2023-10-10 05:29:11+00:00,PT41S,484846,47534,213,41.0,5,Tuesday,1
Introduction to CSS | Sigma Web Development Course - Tutorial #14,2023-10-09 13:03:17+00:00,PT9M14S,495067,28742,3766,554.0,13,Monday,1
"Entities, Code tag and more on HTML | Sigma Web Development Course - Tutorial #13",2023-10-08 13:01:59+00:00,PT9M21S,449289,22611,2621,561.0,13,Sunday,1
Exercise 1 - Pure HTML Media Player | Sigma Web Development Course - Tutorial #12,2023-10-07 13:53:48+00:00,PT3M41S,449172,21274,8966,221.0,13,Saturday,1
Semantic Tags  in HTML | Sigma Web Development Course - Tutorial #11,2023-10-06 13:31:01+00:00,PT10M42S,513402,37325,1913,642.0,13,Friday,1
"Video, Audio & Media in HTML | Sigma Web Development Course - Tutorial #10",2023-10-05 14:30:08+00:00,PT14M48S,699859,38738,5283,888.0,14,Thursday,0
How to Make Money With AI and Machine Learning (This works) 🔥,2023-10-05 04:49:41+00:00,PT11M32S,157322,7677,404,692.0,4,Thursday,1
Id & Classes in HTML | Sigma Web Development Course - Tutorial #9,2023-10-04 15:39:25+00:00,PT10M57S,527602,28744,3076,657.0,15,Wednesday,1
Inline & Block Elements in HTML | Sigma Web Development Course - Tutorial #8,2023-10-03 14:09:32+00:00,PT10M52S,615500,35995,8948,652.0,14,Tuesday,0
Is DPN the new VPN? | Deeper Connect Air Unboxing and First Look 🔥,2023-10-03 11:11:51+00:00,PT11M48S,106410,3239,304,708.0,11,Tuesday,1
Forms and input tags in HTML | Sigma Web Development Course - Tutorial #7,2023-10-02 15:13:49+00:00,PT14M53S,869358,59721,6648,893.0,15,Monday,0
SEO and Core Web Vitals in HTML | Sigma Web Development Course - Tutorial #6,2023-10-01 13:49:07+00:00,PT13M16S,862764,36953,4591,796.0,13,Sunday,0
"Image, Lists, and Tables in HTML | Sigma Web Development Course - Tutorial #5",2023-09-30 14:30:00+00:00,PT18M20S,1162943,77216,9306,1100.0,14,Saturday,0
AI + Graphic Designing = Money ₹₹₹₹  🔥,2023-09-30 09:01:47+00:00,PT15M2S,45428,2577,280,902.0,9,Saturday,1
"Heading, Paragraphs and Links | Sigma Web Development Course - Tutorial #4",2023-09-29 15:45:43+00:00,PT19M34S,1171390,64525,7117,1174.0,15,Friday,0
Basic Structure of an HTML Website | Sigma Web Development Course - Tutorial #3,2023-09-28 16:41:18+00:00,PT11M12S,1280858,57646,7517,672.0,16,Thursday,0
Your First HTML Website | Sigma Web Development Course - Tutorial #2,2023-09-27 15:47:25+00:00,PT28M31S,2013884,99109,28307,1711.0,15,Wednesday,0
Installing VS Code & How Websites Work | Sigma Web Development Course - Tutorial #1,2023-09-26 14:39:53+00:00,PT31M20S,5561591,143058,36553,1880.0,14,Tuesday,2
5 JavaScript Mistakes Every Beginner Must Avoid 🔥,2023-09-25 11:30:32+00:00,PT10M56S,247703,9934,541,656.0,11,Monday,1
Lets Build Dropbox Clone in 5 Minutes using FileCloud 🔥,2023-09-23 11:41:39+00:00,PT11M55S,18730,754,137,715.0,11,Saturday,1
Lets Build an AI Voice Assisted  Using ChatGPT API | ChatGPT API Tutorial | Generative AI Series 🔥,2023-09-21 14:16:16+00:00,PT1H19M5S,120355,3178,259,4745.0,14,Thursday,1
Sigma Web Development Course - Coming Soon 🔥,2023-09-18 10:40:10+00:00,PT33S,117243,9966,1640,33.0,10,Monday,1
How Python Works 🐍,2023-09-17 16:30:10+00:00,PT56S,194526,14642,110,56.0,16,Sunday,1
"Let's Build an Email Validator with HTML, CSS, and JavaScript 🔥",2023-09-15 05:30:01+00:00,PT50M32S,97738,2671,235,3032.0,5,Friday,1
VS Code Server Preview Trick on Mobile! 📱,2023-09-14 16:30:10+00:00,PT1M,340614,26161,178,60.0,16,Thursday,1
The Best Language for DSA 👨‍💻,2023-09-13 11:30:23+00:00,PT57S,1647107,97809,1165,57.0,11,Wednesday,0
Windows Vs Linux Vs Mac for Coding 💻,2023-09-12 11:30:02+00:00,PT43S,535868,29442,347,43.0,11,Tuesday,1
HTML/CSS/JavaScript vs Frameworks,2023-09-11 11:30:06+00:00,PT52S,290198,24398,112,52.0,11,Monday,1
"How to install, setup, and use phpMyAdmin with MySQL on Linux 🔥",2023-09-10 11:30:07+00:00,PT12M23S,17724,425,147,743.0,11,Sunday,1
5 Effective Tips to Learn Python Fast (Pro Hacks)🔥,2023-09-05 11:30:24+00:00,PT8M51S,457828,15024,624,531.0,11,Tuesday,1
